query,answer,evaluation
how many new cases in Austria today,"Sorry, I'm afraid I don't have any data on cases from today for Austria. The latest entry is from yesterday. Maybe try a different time period.",SUCCESS
number of cases in Austria yesterday,"There have been 38,060 new positive cases in Austria yesterday.",SUCCESS
number of cases in Austria 34 days ago,"There have been 27,087 new positive cases in Austria on February 8th 2022.",SUCCESS
highest number of cases recorded in Austria last month,"The highest number of new positive cases in Austria last month has been 48,357.",SUCCESS
highest number of cases recorded in Austria this month,"The highest number of new positive cases in Austria this month has been 49,432.",SUCCESS
how many people got vaccinated this year,"503,427,737 people have been vaccinated against COVID in the world this year.",SUCCESS
how many people received the covid vaccine in Nigeria,"18,859,144 people have been vaccinated against COVID so far in Nigeria.",SUCCESS
tell me how many doses were administered in the United states of America,Looks like I can't find any data on america in the database.,LOCATION_NOT_RECOGNIZED
tell me how many doses were administered in the United States of America,Looks like I can't find any data on the united states of america in the database.,LOCATION_NOT_RECOGNIZED
tell me how many doses were administered in the USA,"556,793,649 COVID vaccines have been administered so far in the United States.",SUCCESS
tell me how many people got COVID yesterday,"There have been 1,159,377 new positive cases in the world yesterday.",SUCCESS
hi! how many cases have there been in Austria yesterday?,"There have been 38,060 new positive cases in Austria yesterday.",SUCCESS
what is the highest number of cases recorded in Austria ever?,"The highest number of new positive cases in Austria has been 49,432.",SUCCESS
in which country were most people vaccinated on September 3rd 2021?,"The highest number of daily vaccinated people against COVID in the world on September 3rd 2021 has been 16,839,142.",SUCCESS
which country has had the highest number of people vaccinated on September 3rd 2021?,The country with the highest number of daily vaccinated people against COVID on September 3rd 2021 is India.,SUCCESS
tell me the number of cases in Austria two days ago,"There have been 44,465 new positive cases in Austria 2 days ago.",SUCCESS
how many people got COVID today in Australia?,"Sorry, I'm afraid I don't have any data on cases from today for Australia. The latest entry is from yesterday. Maybe try a different time period.",SUCCESS
which country has had the highest number of covid infections this year?,"Sorry, at the moment I can only compare the maximum/minimum between different countries for a single day; if you are asking for a whole week, month or year, I don't support that yet. Try a different question!",SUCCESS
how many cases were there in Austria 2 days ago?,"There have been 44,465 new positive cases in Austria 2 days ago.",SUCCESS
how many cases have been reported in Austria two days ago?,"There have been 44,465 new positive cases in Austria 2 days ago.",SUCCESS
what is the highest number of cases reported in Australia last week?,"The highest number of new positive cases in Australia last week has been 44,962.",SUCCESS
what is the highest number of daily vaccinated people in India last month?,"The highest number of daily vaccinated people against COVID in India last month has been 1,734,701.",SUCCESS
which country has had the most administered vaccines yesterday?,The country with the highest number of daily performed vaccinations against COVID yesterday is China.,SUCCESS
when did Austria have the highest number of new infections?,The highest number of daily positive cases in Austria was recorded 4 days ago.,SUCCESS
How many people were tested positive in Peru last month?,"There have been 292,854 new positive cases in Peru last month.",SUCCESS
How many people are vaccinated in Europe,"507,930,570 people have been vaccinated against COVID so far in Europe.",SUCCESS
Ho many peple were tested positive in the US,"There have been 79,523,227 positive cases reported so far in the United States.",SUCCESS
Ho many peple were tesSted positive in the USa,"There have been 79,523,227 positive cases reported so far in the United States.",SUCCESS
Ho many peple were tested postivey in the UAS,"There have been 456,791,540 positive cases reported so far in the world.",SUCCESS
How many people are vaccinated in Austria and Germany,"6,812,027 people have been vaccinated against COVID so far in Austria.",WRONG_INTENT
How many people are vaccinated in North Korea,Looks like I can't find any data on north korea in the database.,SUCCESS
Tell me the number of humans that were tested positive for covid in Denmark in 2021,"There have been 640,919 new positive cases in Denmark last year.",SUCCESS
tested positive Brazil 20.10.2021,"There have been 15,708 new positive cases in Brazil on October 20th 2021.",SUCCESS
tested Brazil last month,"There have been 3,333,041 new positive cases in Brazil last month.",SUCCESS
positive Brazil last month,"There have been 3,333,041 new positive cases in Brazil last month.",SUCCESS
How many vaccinations have been administered in Hungary this year,"997,947 COVID vaccines have been administered in Hungary this year.",SUCCESS
How many vaccinations have been administered in Japan between 12.3.2021 and 1.4.2021?,ERROR,SERVER_ERROR
hi,"I think I am having some trouble understanding your question, try a different one.",SUCCESS
How many people have been vaccinated in Englang?,"I don't have any data on englang, try a different location.",SUCCESS
How many people have been vaccinated in England?,"42,832,699 people have been vaccinated against COVID so far in England.",SUCCESS
How many people have been vaccinated in England today?,"Sorry, I'm afraid I don't have any data on vaccinations from today for England. The latest entry is from 4 days ago. Maybe try a different time period.",SUCCESS
How many people have been vaccinated in England on 20.20.2022?,"42,832,699 people have been vaccinated against COVID so far in England.",DATE_NOT_RECOGNIZED
How many people have been vaccinated in England on 20.10.2022?,"Ha, I do know a lot, but I cannot predict the future.",SUCCESS
How many vaccines were delivered today?,"Sorry, I'm afraid I don't have any data on vaccinations from today for the world. The latest entry is from yesterday. Maybe try a different time period.",SUCCESS
How many vaccines were delivered yesterday?,"17,873,548 COVID vaccines have been administered in the world yesterday.",SUCCESS
How many vaccines were administered yesterday in wales?,"Sorry, I'm afraid I don't have any data on vaccinations from yesterday for Wales. The latest entry is from 4 days ago. Maybe try a different time period.",SUCCESS
How many vaccines were administered on the 31.1 in wales?,"6,824,350 COVID vaccines have been administered so far in Wales.",DATE_NOT_RECOGNIZED
How many vaccines were administered on 31.1 in wales?,"6,824,350 COVID vaccines have been administered so far in Wales.",DATE_NOT_RECOGNIZED
How many vaccines were administered on thethirtyfirst of january in wales?,"350,575 COVID vaccines have been administered in Wales in January 2022.",USER_ERROR
How many vaccines were administered on the 28th of january in wales?,"5,944 COVID vaccines have been administered in Wales on January 28th 2022.",SUCCESS
How many vaccines does an austrian citizen have on average?,"10,997,998,435 COVID vaccines have been administered so far in the world.",WRONG_INTENT
How many vaccines were administered in austria per person?,"6,812,027 people have been vaccinated against COVID so far in Austria.",SUCCESS
How many vaccines were administered in austria in total? divide that number by the number of people please,"6,812,027 people have been vaccinated against COVID so far in Austria.",SUCCESS
How many vaccines have been given in Russia two weeks ago?,"7,425 COVID vaccines have been administered in Russia on February 28th 2022.",SUCCESS
How many cases in india yesterday?,"There have been 2,503 new positive cases in India yesterday.",SUCCESS
cases denmark last week,"There have been 86,542 new positive cases in Denmark last week.",SUCCESS
cases tyrol,"There have been 456,791,540 positive cases reported so far in the world.",LOCATION_NOT_RECOGNIZED
cases tyrol yesterday,"There have been 1,159,377 new positive cases in the world yesterday.",LOCATION_NOT_RECOGNIZED
cases europe yesterday,"There have been 319,011 new positive cases in Europe yesterday.",SUCCESS
